Modell's,Marquee,30,300
Ripley's Odditorium Screen (3 LED Screens),Marquee,24,44
Above Chevys corner (1/9 LED center),Under 65 Ft,11,121
CBS/Panasonic,Under 65 Ft,24,432
Skechers,Under 65 Ft,4,40
NBC Screen,Above 65 Ft,18,234
Toshiba Below Highest Toshba Screen,Above 65 Ft,51,2703
Toshiba  (Highest Screen),Above 65 Ft,40,2120
Anheuser-Busch Budlight Screen,Above 65 Ft,35,1750
Sony News Corp Screen,Under 65 Ft,35,1400
Walgreens ALL THREE,Above 65 Ft,24,16000
Wrigley's Screen,Under 65 Ft,90,3150
JVC Screen,Under 65 Ft,34,646
ABC Screen,Under 65 Ft,24,3685
Hard Rock Cafe Screen,Marquee,35,245
Aeropostale,Marquee,120,2160
MTV Video Screen,Under 65 Ft,37,925
Toys R Us Screen (2 panels),Marquee,38,304
Kodak Screen,Under 65 Ft,23,552
Marriott Marquis - Bank of America (Broadway @46th),Under 65 Ft,40,2800
Marriott Marquis - Planters (Broadway & 45th),Under 65 Ft,17,391
Disney,Under 65 Ft,24,2250
Forever 21 Main Screen,Under 65 Ft,58,2204
Forever 21 Decorative Pane Screen,Marquee,35,560
LG Screen,Above 65 Ft,84,4200
American Eagle (two screens),Above 65 Ft,24,15000
CNN Screen,Under 65 Ft,40,1600
